file_name,pred_po_date,gt_po_date,po_date_correct,doc_correct,is_day_month_swap_error
L2_A_001,2024-02-21,2024-02-21,True,False,False
L2_A_002,2024-03-29,2024-03-29,True,False,False
L2_A_003,2026-10-19,2026-10-19,True,False,False
L2_A_004,2024-08-05,2024-08-05,True,False,False
L2_A_005,2024-09-04,2024-09-04,True,False,False
L2_A_006,2024-08-11,2024-08-11,True,False,False
L2_A_007,2024-05-20,2024-05-20,True,False,False
L2_A_008,2024-08-07,2024-08-07,True,False,False
L2_A_009,2025-03-06,2025-03-06,True,False,False
L2_A_010,2026-11-09,2026-11-09,True,False,False
L2_A_011,2025-07-09,2025-09-07,False,False,True
L2_A_012,2025-05-16,2025-05-16,True,False,False
L2_A_013,2025-04-25,2025-04-25,True,False,False
L2_A_014,2025-03-27,2025-03-27,True,False,False
L2_A_015,2024-09-15,2024-09-15,True,False,False
L2_A_016,2026-06-11,2026-06-11,True,False,False
L2_A_017,2025-05-13,2025-05-13,True,False,False
L2_A_018,2024-01-26,2024-01-26,True,False,False
L2_A_019,2024-01-06,2024-01-06,True,False,False
L2_A_020,2026-08-21,2026-08-21,True,False,False
L2_A_021,2024-09-25,2024-09-25,True,False,False
L2_A_022,2026-02-24,2026-02-24,True,False,False
L2_A_023,2024-11-07,2024-11-07,True,False,False
L2_A_024,2026-06-01,2026-06-01,True,False,False
L2_A_025,2025-08-27,2025-08-27,True,False,False
L2_A_026,2026-01-19,2026-01-19,True,False,False
L2_A_027,2024-08-26,2024-08-26,True,False,False
L2_A_028,2024-02-13,2024-02-13,True,False,False
L2_A_029,2024-08-20,2024-08-20,True,False,False
L2_A_030,2026-05-01,2026-05-01,True,False,False
L2_A_031,2026-05-28,2026-05-28,True,False,False
L2_A_032,2025-07-13,2025-07-13,True,False,False
L2_A_033,2024-02-12,2024-02-12,True,False,False
L2_A_034,2025-10-09,2025-10-09,True,False,False
L2_A_035,2026-01-15,2026-01-15,True,False,False
L2_A_036,2024-06-07,2024-06-07,True,False,False
L2_A_037,2026-11-17,2026-11-17,True,False,False
L2_A_038,2026-05-16,2026-05-16,True,False,False
L2_A_039,2024-05-18,2024-05-18,True,False,False
L2_A_040,2026-03-02,2026-03-02,True,False,False
L2_A_041,2026-07-10,2026-07-10,True,False,False
L2_A_042,2025-12-12,2025-12-12,True,False,False
L2_A_043,2024-09-11,2024-09-11,True,False,False
L2_A_044,2026-10-16,2026-10-16,True,False,False
L2_A_045,2025-01-23,2025-01-23,True,False,False
L2_A_046,2025-02-11,2025-02-11,True,False,False
L2_A_047,2025-04-11,2025-04-11,True,False,False
