doc_id,gt_doc_id,category,field_name,pred_value,gt_value
L2_A_001_v1,L2_A_001,A,part_number,"[""IR-220"", ""IR-240"", ""IR-410""]","[""IR-220"", ""BK-410"", ""IR-410""]"
L2_A_001_v1,L2_A_001,A,unit_price,"[74.7, 148.19, 61.0]","[74.17, 5.11, 61.0]"
L2_A_001_v1,L2_A_001,A,line_amount,"[741.7, 1481.51, 2074.0]","[741.7, 148.19, 2074.0]"
L2_A_002_v1,L2_A_002,A,part_number,"[""JG-610"", ""AK-610"", ""BK-725"", ""BF-305"", ""EV-220""]","[""JQ-618"", ""AX-410"", ""BK-725"", ""FT-305"", ""EV-220""]"
L2_A_003_v1,L2_A_003,A,part_number,"[""JR-940"", ""JR-925"", ""CN-210"", ""BK-305""]","[""IR-940"", ""JQ-725"", ""CN-940"", ""BK-305""]"
L2_A_003_v1,L2_A_003,A,unit,"[""boxes"", null, ""sets"", ""EA""]","[""boxes"", ""boxes"", ""sets"", ""EA""]"
L2_A_004_v1,L2_A_004,A,part_number,"[""IR-940"", ""AK-220"", ""DX-220""]","[""IR-940"", ""AX-220"", ""DX-220""]"
L2_A_004_v1,L2_A_004,A,unit_price,"[76.73, 33.75, 25.67]","[76.73, 33.77, 25.47]"
L2_A_005_v1,L2_A_005,A,part_number,"[""DX-410"", ""AX-410"", ""BX-940"", ""DX-940""]","[""DX-410"", ""AX-410"", ""BK-940"", ""DX-940""]"
L2_A_005_v1,L2_A_005,A,unit_price,"[59.65, 71.73, 86.24, 67.56]","[59.65, 71.37, 86.24, 67.56]"
L2_A_006_v1,L2_A_006,A,po_date,"""2024-01-11""","""2024-08-11"""
L2_A_006_v1,L2_A_006,A,total_amount,5585.67,5585.66
L2_A_006_v1,L2_A_006,A,part_number,"[""EV-830"", ""IR-820"", ""IR-210"", ""DX-725"", ""GX-512""]","[""EV-830"", ""IR-220"", ""BK-410"", ""DX-725"", ""GX-512""]"
L2_A_006_v1,L2_A_006,A,unit_price,"[43.34, 43.78, 83.93, 49.59, 39.14]","[43.34, 45.43, 83.93, 49.59, 39.14]"
L2_A_007_v1,L2_A_007,A,part_number,"[""JQ-410"", ""EA-725"", ""EV-210"", ""CM-512"", ""RK-100""]","[""JQ-410"", ""BK-725"", ""EV-410"", ""CN-512"", ""BK-100""]"
L2_A_007_v1,L2_A_007,A,unit_price,"[94.8, 5.9, 53.23, 28.03, 93.04]","[94.28, 5.89, 53.23, 28.03, 93.04]"
L2_A_007_v1,L2_A_007,A,line_amount,"[848.52, 235.0, 2022.74, 476.51, 2046.88]","[848.52, 235.6, 2022.74, 476.51, 2046.88]"
