file_name,version,category,error_field,level_type,item_index,gt_value,pred_value,ocr_text_path,prediction_path,ground_truth_path,suspected_error_type,notes
L2_A_004,clean_baseline,A,po_date,header,,2024-08-05,2024-08-00,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_A_004.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_A_004.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/A_field_variation/L2_A_004.json,other,
L2_A_011,clean_baseline,A,po_date,header,,2025-09-07,2025-07-09,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_A_011.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_A_011.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/A_field_variation/L2_A_011.json,date_ambiguity,
L2_B_007,clean_baseline,B,po_date,header,,2026-01-05,2026-05-01,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_007.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_007.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_007.json,date_ambiguity,
L2_B_010,clean_baseline,B,po_number,header,,PO-2024-3362,Po-2024-3362,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_010.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_010.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_010.json,ocr_char_confusion,
L2_B_011,clean_baseline,B,po_number,header,,PO-2025-2404,Po-2025-2404,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_011.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_011.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_011.json,ocr_char_confusion,
L2_B_012,clean_baseline,B,part_number,item,1,GX-512,Gx-512,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_012.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_012.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_012.json,ocr_char_confusion,
L2_B_014,clean_baseline,B,po_date,header,,2026-09-08,2026-08-09,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_014.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_014.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_014.json,date_ambiguity,
L2_B_015,clean_baseline,B,line_amount,item,2,781.68,81.68,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_015.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_015.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_015.json,value_misalignment,
L2_B_019,clean_baseline,B,po_date,header,,2024-12-05,2024-05-12,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_019.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_019.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_019.json,date_ambiguity,
L2_B_021,clean_baseline,B,po_date,header,,2024-04-09,2024-09-04,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_clean_resize_70/L2_B_021.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/clean/L2_B_021.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_021.json,date_ambiguity,
