doc_id,gt_doc_id,category,field_name,pred_value,gt_value
L2_A_004,L2_A_004,A,po_date,"""2024-08-00""","""2024-08-05"""
L2_A_011,L2_A_011,A,po_date,"""2025-07-09""","""2025-09-07"""
L2_B_007,L2_B_007,B,po_date,"""2026-05-01""","""2026-01-05"""
L2_B_010,L2_B_010,B,po_number,"""Po-2024-3362""","""PO-2024-3362"""
L2_B_011,L2_B_011,B,po_number,"""Po-2025-2404""","""PO-2025-2404"""
L2_B_012,L2_B_012,B,part_number,"[""HM-305"", ""Gx-512"", ""DX-830""]","[""HM-305"", ""GX-512"", ""DX-830""]"
L2_B_014,L2_B_014,B,po_date,"""2026-08-09""","""2026-09-08"""
L2_B_015,L2_B_015,B,line_amount,"[2394.48, 2581.88, 81.68]","[2394.48, 2581.88, 781.68]"
L2_B_019,L2_B_019,B,po_date,"""2024-05-12""","""2024-12-05"""
L2_B_021,L2_B_021,B,po_date,"""2024-09-04""","""2024-04-09"""
L2_B_022,L2_B_022,B,po_number,"""Po-2024-8032""","""PO-2024-8032"""
L2_B_023,L2_B_023,B,po_number,"""Po-2025-6753""","""PO-2025-6753"""
L2_B_026,L2_B_026,B,part_number,"[""CN-512"", ""BK-410"", ""AX-410"", ""CN-305"", ""Gx-410""]","[""CN-512"", ""BK-410"", ""AX-410"", ""CN-305"", ""GX-410""]"
L2_B_031,L2_B_031,B,po_number,"""Po-2025-9173""","""PO-2025-9173"""
L2_B_035,L2_B_035,B,part_number,"[""Ax-725"", ""GX-830"", ""BK-830"", ""BK-100""]","[""AX-725"", ""GX-830"", ""BK-830"", ""BK-100""]"
L2_B_038,L2_B_038,B,po_number,"""Po-2026-8779""","""PO-2026-8779"""
L2_B_038,L2_B_038,B,part_number,"[""IR-305"", ""CN-410"", ""BK-725"", ""EV-618"", ""Gx-940""]","[""IR-305"", ""CN-410"", ""BK-725"", ""EV-618"", ""GX-940""]"
L2_B_040,L2_B_040,B,po_number,"""Po-2025-7828""","""PO-2025-7828"""
L2_B_040,L2_B_040,B,part_number,"[""FT-100"", ""IR-725"", ""AX-305"", ""DX-100"", ""Dx-512""]","[""FT-100"", ""IR-725"", ""AX-305"", ""DX-100"", ""DX-512""]"
L2_B_043,L2_B_043,B,po_number,"""Po-2026-9759""","""PO-2026-9759"""
L2_B_045,L2_B_045,B,po_number,"""Po-2025-728o""","""PO-2025-7280"""
L2_B_045,L2_B_045,B,po_date,"""2024-10-01""","""2024-01-10"""
L2_B_046,L2_B_046,B,po_number,"""Po-2026-1359""","""PO-2026-1359"""
L2_C_006,L2_C_006,C,unit_price,"[25.55, 39.37, 2.95, 80.68]","[25.55, 39.37, 72.95, 80.68]"
L2_C_029,L2_C_029,C,quantity,"[37, null, 4, 36]","[37, 3, 4, 36]"
L2_C_038,L2_C_038,C,unit,"[null, ""sets"", ""sets"", ""units"", ""EA""]","[""pcs"", ""sets"", ""sets"", ""units"", ""EA""]"
L2_C_039,L2_C_039,C,po_date,"""2025-11-06""","""2025-06-11"""
L2_C_048,L2_C_048,C,part_number,"[""DX-100"", ""BK-52""]","[""DX-100"", ""BK-512""]"
L2_D_005,L2_D_005,D,unit,"[""EA"", ""boxes"", ""sts"", ""units""]","[""EA"", ""boxes"", ""sets"", ""units""]"
L2_D_009,L2_D_009,D,po_date,"""2024-05-11""","""2024-11-05"""
L2_D_015,L2_D_015,D,po_date,"""2024-09-05""","""2024-05-09"""
L2_D_050,L2_D_050,D,po_date,"""2024-10-03""","""2024-03-10"""
L2_E_009,L2_E_009,E,part_number,"[""JQ-830"", ""GX-512"", ""DX-220"", ""Dx-830"", ""IR-410""]","[""JQ-830"", ""GX-512"", ""DX-220"", ""DX-830"", ""IR-410""]"
L2_E_012,L2_E_012,E,part_number,"[""CN-305"", ""FT-725"", ""Dx-830"", ""AX-940""]","[""CN-305"", ""FT-725"", ""DX-830"", ""AX-940""]"
L2_E_025,L2_E_025,E,part_number,"[""BK-100"", ""JQ-618"", ""Dx-618""]","[""BK-100"", ""JQ-618"", ""DX-618""]"
L2_E_031,L2_E_031,E,po_date,"""2026-05-02""","""2026-02-05"""
L2_E_039,L2_E_039,E,part_number,"[""JQ-305"", ""Gx-305""]","[""JQ-305"", ""GX-305""]"
L2_E_042,L2_E_042,E,part_number,"[""EV-940"", ""EV-725"", ""Gx-940"", ""CN-830"", ""AX-100""]","[""EV-940"", ""EV-725"", ""GX-940"", ""CN-830"", ""AX-100""]"
L2_E_050,L2_E_050,E,unit,"[""EA"", null, ""EA"", ""EA"", ""boxes""]","[""EA"", ""units"", ""EA"", ""EA"", ""boxes""]"
