doc_id,gt_doc_id,category,field_name,pred_value,gt_value
L2_A_011_v1,L2_A_011,A,po_date,"""2025-07-09""","""2025-09-07"""
L2_B_002_v1,L2_B_002,B,po_number,"""Po-2026-2341""","""PO-2026-2341"""
L2_B_010_v1,L2_B_010,B,po_number,"""Po-2024-3362""","""PO-2024-3362"""
L2_B_012_v1,L2_B_012,B,po_number,"""Po-2026-9537""","""PO-2026-9537"""
L2_B_013_v1,L2_B_013,B,po_number,"""Po-2024-5922""","""PO-2024-5922"""
L2_B_014_v1,L2_B_014,B,po_date,"""2026-08-09""","""2026-09-08"""
L2_B_015_v1,L2_B_015,B,po_number,"""Po-2026-4621""","""PO-2026-4621"""
L2_B_016_v1,L2_B_016,B,po_number,"""Po-2026-4996""","""PO-2026-4996"""
L2_B_018_v1,L2_B_018,B,po_number,"""Po-2026-9281""","""PO-2026-9281"""
L2_B_018_v1,L2_B_018,B,part_number,"[""JQ-100"", ""DX-940"", ""JQ-830"", ""BK-512"", ""AX-830j""]","[""JQ-100"", ""DX-940"", ""JQ-830"", ""BK-512"", ""AX-830""]"
L2_B_019_v1,L2_B_019,B,po_number,"""Po-2025-8015""","""PO-2025-8015"""
L2_B_019_v1,L2_B_019,B,po_date,"""2024-05-12""","""2024-12-05"""
L2_B_020_v1,L2_B_020,B,po_number,"""Po-2026-5402""","""PO-2026-5402"""
L2_B_022_v1,L2_B_022,B,po_number,"""Po-2024-8032""","""PO-2024-8032"""
L2_B_024_v1,L2_B_024,B,po_number,"""Po-2025-7895""","""PO-2025-7895"""
L2_B_028_v1,L2_B_028,B,po_number,"""Po-2025-2391""","""PO-2025-2391"""
L2_B_029_v1,L2_B_029,B,line_amount,"[1539.2, 238.0, 1647.3, 577.5, 1694.4]","[1539.72, 238.0, 1647.3, 577.5, 1694.4]"
L2_B_030_v1,L2_B_030,B,po_number,"""Po-2024-2056""","""PO-2024-2056"""
L2_B_033_v1,L2_B_033,B,po_number,"""Po-2025-3876""","""PO-2025-3876"""
L2_B_034_v1,L2_B_034,B,po_number,"""Po-2025-8982""","""PO-2025-8982"""
L2_B_035_v1,L2_B_035,B,po_number,"""Po-2024-5345""","""PO-2024-5345"""
L2_B_039_v1,L2_B_039,B,po_number,"""Po-2025-7732""","""PO-2025-7732"""
L2_B_040_v1,L2_B_040,B,po_number,"""Po-2025-7828""","""PO-2025-7828"""
L2_B_042_v1,L2_B_042,B,po_number,"""Po-2026-9530""","""PO-2026-9530"""
L2_B_043_v1,L2_B_043,B,po_number,"""Po-2026-9759""","""PO-2026-9759"""
L2_B_044_v1,L2_B_044,B,po_number,"""Po-2026-7253""","""PO-2026-7253"""
L2_B_045_v1,L2_B_045,B,po_number,"""Po-2025-7280""","""PO-2025-7280"""
L2_B_045_v1,L2_B_045,B,po_date,"""2024-10-01""","""2024-01-10"""
L2_B_050_v1,L2_B_050,B,po_number,"""Po-2025-8277""","""PO-2025-8277"""
L2_C_029_v1,L2_C_029,C,quantity,"[37, null, 4, 36]","[37, 3, 4, 36]"
L2_C_038_v1,L2_C_038,C,unit,"[null, ""sets"", ""sets"", ""units"", ""EA""]","[""pcs"", ""sets"", ""sets"", ""units"", ""EA""]"
L2_C_039_v1,L2_C_039,C,po_date,"""2025-11-06""","""2025-06-11"""
L2_D_004_v1,L2_D_004,D,quantity,"[1, 39, 30]","[6, 39, 30]"
L2_D_009_v1,L2_D_009,D,po_date,"""2024-05-11""","""2024-11-05"""
L2_D_050_v1,L2_D_050,D,po_date,"""2024-10-03""","""2024-03-10"""
L2_E_006_v1,L2_E_006,E,po_number,"""P0-2026-8423""","""PO-2026-8423"""
L2_E_012_v1,L2_E_012,E,part_number,"[""CN-305"", ""FT-725"", ""DXx-830"", ""AX-940""]","[""CN-305"", ""FT-725"", ""DX-830"", ""AX-940""]"
L2_E_024_v1,L2_E_024,E,po_number,"""P0-2024-1378""","""PO-2024-1378"""
L2_E_031_v1,L2_E_031,E,po_number,"""P0-2025-3575""","""PO-2025-3575"""
L2_E_031_v1,L2_E_031,E,po_date,"""2026-05-02""","""2026-02-05"""
L2_E_034_v1,L2_E_034,E,po_number,"""P0-2024-3910""","""PO-2024-3910"""
L2_E_050_v1,L2_E_050,E,unit,"[""EA"", null, ""EA"", ""EA"", ""boxes""]","[""EA"", ""units"", ""EA"", ""EA"", ""boxes""]"
