doc_id,gt_doc_id,category,field_name,pred_value,gt_value
L2_A_001,L2_A_001,A,part_number,"[""IR-220"", ""IR-240"", ""IR-410""]","[""IR-220"", ""BK-410"", ""IR-410""]"
L2_A_001,L2_A_001,A,unit_price,"[74.7, 5.11, 61.0]","[74.17, 5.11, 61.0]"
L2_A_002,L2_A_002,A,part_number,"[""JQ-618"", ""AK-610"", ""RB-725"", ""BF-305"", ""EV-220""]","[""JQ-618"", ""AX-410"", ""BK-725"", ""FT-305"", ""EV-220""]"
L2_A_003,L2_A_003,A,po_number,"""po-2025-4483""","""PO-2025-4483"""
L2_A_003,L2_A_003,A,part_number,"[""JR-940"", ""JQ-925"", ""CN-340"", ""BK-305""]","[""IR-940"", ""JQ-725"", ""CN-940"", ""BK-305""]"
L2_A_004,L2_A_004,A,po_date,"""2024-05-08""","""2024-08-05"""
L2_A_004,L2_A_004,A,total_amount,3803.0,3803.92
L2_A_004,L2_A_004,A,part_number,"[""IR-940"", ""AK-220"", ""DX-220""]","[""IR-940"", ""AX-220"", ""DX-220""]"
L2_A_004,L2_A_004,A,unit,"[""pcs"", ""boxes"", null]","[""pcs"", ""boxes"", ""pcs""]"
L2_A_004,L2_A_004,A,unit_price,"[76.73, 33.78, 25.67]","[76.73, 33.77, 25.47]"
L2_A_005,L2_A_005,A,po_number,"""PO-2023-8397""","""PO-2026-8397"""
L2_A_005,L2_A_005,A,part_number,"[""DX-410"", ""AX-410"", ""BX-940"", ""DX-940""]","[""DX-410"", ""AX-410"", ""BK-940"", ""DX-940""]"
L2_A_006,L2_A_006,A,po_date,"""2022-08-11""","""2024-08-11"""
L2_A_006,L2_A_006,A,part_number,"[""EV-830"", ""ER-20"", ""IR-210"", ""DX-725"", ""GX-512""]","[""EV-830"", ""IR-220"", ""BK-410"", ""DX-725"", ""GX-512""]"
L2_A_006,L2_A_006,A,unit,"[""EA"", null, ""EA"", ""pcs"", ""sets""]","[""EA"", ""pcs"", ""EA"", ""pcs"", ""sets""]"
L2_A_006,L2_A_006,A,unit_price,"[43.34, 43.34, 83.93, 49.59, 39.14]","[43.34, 45.43, 83.93, 49.59, 39.14]"
L2_A_006,L2_A_006,A,line_amount,"[433.4, 272.08, 3021.48, 1388.52, 469.68]","[433.4, 272.58, 3021.48, 1388.52, 469.68]"
L2_A_007,L2_A_007,A,part_number,"[""JQ-410"", ""E5-210"", ""E5-210"", ""CM-512"", ""BK-100""]","[""JQ-410"", ""BK-725"", ""EV-410"", ""CN-512"", ""BK-100""]"
L2_A_008,L2_A_008,A,po_date,"""2024-07-08""","""2024-08-07"""
L2_A_008,L2_A_008,A,part_number,"[""FM-210"", ""AK-200"", ""RT-305"", ""TR-725""]","[""FT-410"", ""AX-220"", ""FT-305"", ""IR-725""]"
L2_A_008,L2_A_008,A,unit_price,"[61.27, 49.68, 6.32, 74.64]","[61.27, 49.88, 6.32, 74.64]"
L2_A_009,L2_A_009,A,po_date,"""2025-06-03""","""2025-03-06"""
L2_A_009,L2_A_009,A,part_number,"[""GX-305"", ""CN-725"", ""MT-725"", ""BK-725""]","[""GX-305"", ""CN-725"", ""FT-725"", ""BK-725""]"
L2_A_009,L2_A_009,A,unit,"[""EA"", ""PCS"", ""EA"", ""PCS""]","[""EA"", ""pcs"", ""EA"", ""pcs""]"
L2_A_010,L2_A_010,A,part_number,"[""EV-305"", ""J0-725""]","[""EV-305"", ""JQ-725""]"
L2_A_010,L2_A_010,A,unit_price,"[87.55, 5.75]","[87.95, 5.75]"
L2_A_011,L2_A_011,A,po_date,"""2025-07-09""","""2025-09-07"""
L2_A_011,L2_A_011,A,total_amount,542.01,5428.01
L2_A_011,L2_A_011,A,part_number,"[""IR-305"", ""GK-305"", ""IR-100"", ""JG-618""]","[""IR-305"", ""GX-305"", ""IR-100"", ""JQ-618""]"
L2_A_011,L2_A_011,A,line_amount,"[1899.91, 1880.48, 1166.62, 452.0]","[1898.91, 1880.48, 1196.62, 452.0]"
L2_A_012,L2_A_012,A,po_number,"""PO-2024-1157""","""PO-2024-1757"""
L2_A_012,L2_A_012,A,part_number,"[""JQ-410"", ""CN-100"", ""IR-830"", ""BK-230"", ""IR-618""]","[""JQ-410"", ""CN-100"", ""IR-830"", ""BK-830"", ""IR-618""]"
L2_A_012,L2_A_012,A,quantity,"[28, 30, 29, 37, 31]","[28, 33, 29, 37, 31]"
L2_A_012,L2_A_012,A,line_amount,"[2487.52, 1235.1, 680.05, 977.54, 2090.02]","[2487.52, 1358.61, 680.05, 977.54, 2090.02]"
L2_A_013,L2_A_013,A,po_number,"""PO-2026-5661""","""PO-2026-5681"""
L2_A_013,L2_A_013,A,part_number,"[""GX-305"", ""FF-940""]","[""GX-305"", ""FT-940""]"
L2_A_014,L2_A_014,A,po_date,"""2023-03-27""","""2025-03-27"""
L2_A_014,L2_A_014,A,total_amount,631.29,6391.29
L2_A_014,L2_A_014,A,part_number,"[""JT-725"", ""JK-920"", ""AA-220"", ""CM-100"", ""MS-610""]","[""FT-725"", ""JQ-940"", ""AX-220"", ""CN-100"", ""HM-618""]"
L2_A_014,L2_A_014,A,unit_price,"[4.84, 82.12, 60.11, 86.95, 34.08]","[4.84, 92.12, 60.01, 86.95, 34.08]"
L2_A_014,L2_A_014,A,line_amount,"[159.72, 2555.72, 1620.27, 869.5, 886.08]","[159.72, 2855.72, 1620.27, 869.5, 886.08]"
L2_A_015,L2_A_015,A,po_number,"""PO-2024-4906""","""PO-2024-4908"""
L2_A_015,L2_A_015,A,total_amount,3633.84,3063.84
L2_A_015,L2_A_015,A,part_number,"[""CN-220"", ""AK-512"", ""DX-220"", ""EV-220"", ""GX-618""]","[""CN-220"", ""AX-512"", ""DX-220"", ""EV-220"", ""GX-618""]"
L2_A_015,L2_A_015,A,unit,"[""EA"", ""EA"", ""units"", ""units"", ""pcs""]","[""EA"", ""units"", ""units"", ""units"", ""pcs""]"
L2_A_015,L2_A_015,A,unit_price,"[17.16, 12.59, 40.87, 11.99, 36.03]","[77.16, 12.59, 40.87, 11.99, 36.03]"
L2_A_015,L2_A_015,A,line_amount,"[388.88, 263.39, 1062.62, 203.83, 144.12]","[1388.88, 264.39, 1062.62, 203.83, 144.12]"
L2_A_016,L2_A_016,A,po_date,"""2022-06-11""","""2026-06-11"""
L2_A_016,L2_A_016,A,part_number,"[""BK-512"", ""PO-725"", ""MF-305"", ""EV-618""]","[""BK-512"", ""JQ-725"", ""FT-305"", ""EV-618""]"
L2_A_016,L2_A_016,A,unit_price,"[83.81, 75.55, 50.44, 36.77]","[83.41, 75.55, 50.44, 36.77]"
L2_A_017,L2_A_017,A,total_amount,827.39,8279.39
L2_A_017,L2_A_017,A,part_number,"[""GX-940"", ""EV-512"", ""DX-518"", ""CN-410"", ""JQ-940""]","[""GX-940"", ""EV-512"", ""DX-618"", ""CN-410"", ""JQ-940""]"
L2_A_017,L2_A_017,A,unit_price,"[54.0, 70.88, 13.82, 95.19, 29.1]","[54.03, 70.88, 13.82, 95.19, 29.1]"
L2_A_018,L2_A_018,A,po_number,"""PO-2025-2600""","""PO-2025-2680"""
L2_A_018,L2_A_018,A,part_number,"[""AX-512"", ""GX-630"", ""AX-305"", ""BK-410"", ""JY-410""]","[""AX-512"", ""GX-830"", ""AX-305"", ""BK-410"", ""JQ-410""]"
