file_name,baseline_doc_correct,fixed_doc_correct,baseline_po_number,fixed_po_number,gt_po_number,baseline_po_correct,fixed_po_correct
L2_A_001,True,True,PO-2026-2824,PO-2026-2824,PO-2026-2824,True,True
L2_A_002,True,True,PO-2025-5333,PO-2025-5333,PO-2025-5333,True,True
L2_A_003,True,True,PO-2025-4483,PO-2025-4483,PO-2025-4483,True,True
L2_A_004,True,True,PO-2024-9317,PO-2024-9317,PO-2024-9317,True,True
L2_A_005,True,True,PO-2026-8397,PO-2026-8397,PO-2026-8397,True,True
L2_A_006,True,True,PO-2025-6559,PO-2025-6559,PO-2025-6559,True,True
L2_A_007,True,True,PO-2024-4044,PO-2024-4044,PO-2024-4044,True,True
L2_A_008,True,True,PO-2025-2891,PO-2025-2891,PO-2025-2891,True,True
L2_A_009,True,True,PO-2024-6862,PO-2024-6862,PO-2024-6862,True,True
L2_A_010,True,True,PO-2025-6753,PO-2025-6753,PO-2025-6753,True,True
L2_A_011,False,False,PO-2026-3041,PO-2026-3041,PO-2026-3041,True,True
L2_A_012,True,True,PO-2024-1757,PO-2024-1757,PO-2024-1757,True,True
L2_A_013,True,True,PO-2026-5681,PO-2026-5681,PO-2026-5681,True,True
L2_A_014,True,True,PO-2026-9947,PO-2026-9947,PO-2026-9947,True,True
L2_A_015,True,True,PO-2024-4908,PO-2024-4908,PO-2024-4908,True,True
L2_A_016,True,True,PO-2025-8616,PO-2025-8616,PO-2025-8616,True,True
L2_A_017,True,True,PO-2024-7625,PO-2024-7625,PO-2024-7625,True,True
L2_A_018,True,True,PO-2025-2680,PO-2025-2680,PO-2025-2680,True,True
L2_A_019,True,True,PO-2024-3564,PO-2024-3564,PO-2024-3564,True,True
L2_A_020,True,True,PO-2024-3870,PO-2024-3870,PO-2024-3870,True,True
L2_A_021,True,True,PO-2024-5375,PO-2024-5375,PO-2024-5375,True,True
L2_A_022,True,True,PO-2026-3369,PO-2026-3369,PO-2026-3369,True,True
L2_A_023,True,True,PO-2025-7325,PO-2025-7325,PO-2025-7325,True,True
L2_A_024,True,True,PO-2025-7141,PO-2025-7141,PO-2025-7141,True,True
L2_A_025,True,True,PO-2026-5847,PO-2026-5847,PO-2026-5847,True,True
L2_A_026,True,True,PO-2024-3165,PO-2024-3165,PO-2024-3165,True,True
L2_A_027,True,True,PO-2025-7689,PO-2025-7689,PO-2025-7689,True,True
L2_A_028,True,True,PO-2026-4475,PO-2026-4475,PO-2026-4475,True,True
L2_A_029,True,True,PO-2025-9619,PO-2025-9619,PO-2025-9619,True,True
L2_A_030,True,True,PO-2025-7532,PO-2025-7532,PO-2025-7532,True,True
L2_A_031,True,True,PO-2026-4705,PO-2026-4705,PO-2026-4705,True,True
L2_A_032,True,True,PO-2025-7785,PO-2025-7785,PO-2025-7785,True,True
L2_A_033,True,True,PO-2024-7636,PO-2024-7636,PO-2024-7636,True,True
L2_A_034,True,True,PO-2026-6295,PO-2026-6295,PO-2026-6295,True,True
L2_A_035,True,True,PO-2026-3600,PO-2026-3600,PO-2026-3600,True,True
L2_A_036,True,True,PO-2024-3538,PO-2024-3538,PO-2024-3538,True,True
L2_A_037,True,True,PO-2025-8361,PO-2025-8361,PO-2025-8361,True,True
L2_A_038,True,True,PO-2026-9647,PO-2026-9647,PO-2026-9647,True,True
L2_A_039,True,True,PO-2024-6850,PO-2024-6850,PO-2024-6850,True,True
L2_A_040,True,True,PO-2026-8204,PO-2026-8204,PO-2026-8204,True,True
L2_A_041,True,True,PO-2024-3513,PO-2024-3513,PO-2024-3513,True,True
L2_A_042,True,True,PO-2026-6236,PO-2026-6236,PO-2026-6236,True,True
L2_A_043,True,True,PO-2026-1907,PO-2026-1907,PO-2026-1907,True,True
L2_A_044,True,True,PO-2026-1496,PO-2026-1496,PO-2026-1496,True,True
L2_A_045,True,True,PO-2026-6123,PO-2026-6123,PO-2026-6123,True,True
L2_A_046,True,True,PO-2025-3363,PO-2025-3363,PO-2025-3363,True,True
L2_A_047,True,True,PO-2025-5350,PO-2025-5350,PO-2025-5350,True,True
L2_A_048,True,True,PO-2026-6804,PO-2026-6804,PO-2026-6804,True,True
L2_A_049,True,True,PO-2026-5442,PO-2026-5442,PO-2026-5442,True,True
L2_A_050,True,True,PO-2026-5742,PO-2026-5742,PO-2026-5742,True,True
L2_B_001,True,True,PO-2025-1187,PO-2025-1187,PO-2025-1187,True,True
L2_B_002,False,True,Po-2026-2341,PO-2026-2341,PO-2026-2341,False,True
L2_B_003,True,True,PO-2024-8575,PO-2024-8575,PO-2024-8575,True,True
L2_B_004,True,True,PO-2025-8585,PO-2025-8585,PO-2025-8585,True,True
L2_B_005,True,True,PO-2025-6253,PO-2025-6253,PO-2025-6253,True,True
L2_B_006,True,True,PO-2024-5398,PO-2024-5398,PO-2024-5398,True,True
L2_B_007,False,False,Po-2025-9743,PO-2025-9743,PO-2025-9743,False,True
L2_B_008,True,True,PO-2024-7756,PO-2024-7756,PO-2024-7756,True,True
L2_B_009,True,True,PO-2025-7502,PO-2025-7502,PO-2025-7502,True,True
L2_B_010,False,True,Po-2024-3362,PO-2024-3362,PO-2024-3362,False,True
L2_B_011,True,True,PO-2025-2404,PO-2025-2404,PO-2025-2404,True,True
L2_B_012,False,True,Po-2026-9537,PO-2026-9537,PO-2026-9537,False,True
L2_B_013,False,True,Po-2024-5922,PO-2024-5922,PO-2024-5922,False,True
L2_B_014,False,False,PO-2024-8357,PO-2024-8357,PO-2024-8357,True,True
L2_B_015,False,True,Po-2026-4621,PO-2026-4621,PO-2026-4621,False,True
L2_B_016,False,True,Po-2026-4996,PO-2026-4996,PO-2026-4996,False,True
L2_B_017,False,True,Po-2025-8501,PO-2025-8501,PO-2025-8501,False,True
L2_B_018,False,False,Po-2026-9281,PO-2026-9281,PO-2026-9281,False,True
L2_B_019,False,False,Po-2025-8015,PO-2025-8015,PO-2025-8015,False,True
L2_B_020,False,True,Po-2026-5402,PO-2026-5402,PO-2026-5402,False,True
L2_B_021,False,False,PO-2025-6631,PO-2025-6631,PO-2025-6631,True,True
L2_B_022,False,True,Po-2024-8032,PO-2024-8032,PO-2024-8032,False,True
L2_B_023,True,True,PO-2025-6753,PO-2025-6753,PO-2025-6753,True,True
L2_B_024,False,True,Po-2025-7895,PO-2025-7895,PO-2025-7895,False,True
L2_B_025,True,True,PO-2024-3545,PO-2024-3545,PO-2024-3545,True,True
L2_B_026,True,True,PO-2024-9128,PO-2024-9128,PO-2024-9128,True,True
L2_B_027,False,True,Po-2025-6362,PO-2025-6362,PO-2025-6362,False,True
L2_B_028,False,True,Po-2025-2391,PO-2025-2391,PO-2025-2391,False,True
L2_B_029,False,False,PO-2024-9780,PO-2024-9780,PO-2024-9780,True,True
L2_B_030,False,True,Po-2024-2056,PO-2024-2056,PO-2024-2056,False,True
L2_B_031,True,True,PO-2025-9173,PO-2025-9173,PO-2025-9173,True,True
L2_B_032,True,True,PO-2025-9674,PO-2025-9674,PO-2025-9674,True,True
L2_B_033,False,True,Po-2025-3876,PO-2025-3876,PO-2025-3876,False,True
L2_B_034,False,True,Po-2025-8982,PO-2025-8982,PO-2025-8982,False,True
L2_B_035,False,True,Po-2024-5345,PO-2024-5345,PO-2024-5345,False,True
L2_B_036,True,True,PO-2024-8066,PO-2024-8066,PO-2024-8066,True,True
L2_B_037,False,True,Po-2025-4271,PO-2025-4271,PO-2025-4271,False,True
L2_B_038,True,True,PO-2026-8779,PO-2026-8779,PO-2026-8779,True,True
L2_B_039,False,True,Po-2025-7732,PO-2025-7732,PO-2025-7732,False,True
L2_B_040,False,True,Po-2025-7828,PO-2025-7828,PO-2025-7828,False,True
L2_B_041,True,True,PO-2026-2480,PO-2026-2480,PO-2026-2480,True,True
L2_B_042,False,True,Po-2026-9530,PO-2026-9530,PO-2026-9530,False,True
L2_B_043,False,True,Po-2026-9759,PO-2026-9759,PO-2026-9759,False,True
L2_B_044,False,True,Po-2026-7253,PO-2026-7253,PO-2026-7253,False,True
L2_B_045,False,False,Po-2025-7280,PO-2025-7280,PO-2025-7280,False,True
L2_B_046,True,True,PO-2026-1359,PO-2026-1359,PO-2026-1359,True,True
L2_B_047,True,True,PO-2025-2654,PO-2025-2654,PO-2025-2654,True,True
L2_B_048,True,True,PO-2024-3862,PO-2024-3862,PO-2024-3862,True,True
L2_B_049,True,True,PO-2025-2850,PO-2025-2850,PO-2025-2850,True,True
L2_B_050,False,True,Po-2025-8277,PO-2025-8277,PO-2025-8277,False,True
L2_C_001,True,True,PO-2025-9973,PO-2025-9973,PO-2025-9973,True,True
L2_C_002,True,True,PO-2025-8912,PO-2025-8912,PO-2025-8912,True,True
L2_C_003,True,True,PO-2024-3913,PO-2024-3913,PO-2024-3913,True,True
L2_C_004,True,True,PO-2026-7371,PO-2026-7371,PO-2026-7371,True,True
L2_C_005,True,True,PO-2024-5934,PO-2024-5934,PO-2024-5934,True,True
L2_C_006,True,True,PO-2024-9691,PO-2024-9691,PO-2024-9691,True,True
L2_C_007,True,True,PO-2025-2702,PO-2025-2702,PO-2025-2702,True,True
L2_C_008,True,True,PO-2024-5748,PO-2024-5748,PO-2024-5748,True,True
L2_C_009,True,True,PO-2024-3971,PO-2024-3971,PO-2024-3971,True,True
L2_C_010,True,True,PO-2026-6432,PO-2026-6432,PO-2026-6432,True,True
L2_C_011,True,True,PO-2025-9210,PO-2025-9210,PO-2025-9210,True,True
L2_C_012,True,True,PO-2024-4387,PO-2024-4387,PO-2024-4387,True,True
L2_C_013,True,True,PO-2026-2938,PO-2026-2938,PO-2026-2938,True,True
L2_C_014,True,True,PO-2026-2127,PO-2026-2127,PO-2026-2127,True,True
L2_C_015,True,True,PO-2024-9680,PO-2024-9680,PO-2024-9680,True,True
L2_C_016,True,True,PO-2026-5155,PO-2026-5155,PO-2026-5155,True,True
L2_C_017,True,True,PO-2026-8133,PO-2026-8133,PO-2026-8133,True,True
L2_C_018,True,True,PO-2025-7642,PO-2025-7642,PO-2025-7642,True,True
L2_C_019,True,True,PO-2025-2917,PO-2025-2917,PO-2025-2917,True,True
L2_C_020,True,True,PO-2026-4965,PO-2026-4965,PO-2026-4965,True,True
L2_C_021,True,True,PO-2026-1533,PO-2026-1533,PO-2026-1533,True,True
L2_C_022,True,True,PO-2024-3389,PO-2024-3389,PO-2024-3389,True,True
L2_C_023,True,True,PO-2025-8322,PO-2025-8322,PO-2025-8322,True,True
L2_C_024,False,False,PO-2024-1431,PO-2024-1431,PO-2024-1431,True,True
L2_C_025,True,True,PO-2025-9841,PO-2025-9841,PO-2025-9841,True,True
L2_C_026,True,True,PO-2026-7385,PO-2026-7385,PO-2026-7385,True,True
L2_C_027,True,True,PO-2025-9165,PO-2025-9165,PO-2025-9165,True,True
L2_C_028,False,False,PO-2026-2539,PO-2026-2539,PO-2026-2539,True,True
L2_C_029,True,True,PO-2026-3521,PO-2026-3521,PO-2026-3521,True,True
L2_C_030,True,True,PO-2025-9873,PO-2025-9873,PO-2025-9873,True,True
L2_C_031,True,True,PO-2024-2753,PO-2024-2753,PO-2024-2753,True,True
L2_C_032,True,True,PO-2026-7802,PO-2026-7802,PO-2026-7802,True,True
L2_C_033,True,True,PO-2024-6159,PO-2024-6159,PO-2024-6159,True,True
L2_C_034,True,True,PO-2025-2562,PO-2025-2562,PO-2025-2562,True,True
L2_C_035,True,True,PO-2026-4617,PO-2026-4617,PO-2026-4617,True,True
L2_C_036,True,True,PO-2026-4245,PO-2026-4245,PO-2026-4245,True,True
L2_C_037,True,True,PO-2026-2405,PO-2026-2405,PO-2026-2405,True,True
L2_C_038,True,True,PO-2026-5444,PO-2026-5444,PO-2026-5444,True,True
L2_C_039,False,False,PO-2025-2015,PO-2025-2015,PO-2025-2015,True,True
L2_C_040,True,True,PO-2024-6062,PO-2024-6062,PO-2024-6062,True,True
L2_C_041,True,True,PO-2026-4783,PO-2026-4783,PO-2026-4783,True,True
L2_C_042,True,True,PO-2026-4323,PO-2026-4323,PO-2026-4323,True,True
L2_C_043,True,True,PO-2024-9470,PO-2024-9470,PO-2024-9470,True,True
L2_C_044,True,True,PO-2024-3024,PO-2024-3024,PO-2024-3024,True,True
L2_C_045,True,True,PO-2026-8311,PO-2026-8311,PO-2026-8311,True,True
L2_C_046,True,True,PO-2024-3429,PO-2024-3429,PO-2024-3429,True,True
L2_C_047,True,True,PO-2025-2063,PO-2025-2063,PO-2025-2063,True,True
L2_C_048,True,True,PO-2025-2932,PO-2025-2932,PO-2025-2932,True,True
L2_C_049,True,True,PO-2026-1477,PO-2026-1477,PO-2026-1477,True,True
L2_C_050,True,True,PO-2024-5448,PO-2024-5448,PO-2024-5448,True,True
L2_D_001,True,True,PO-2024-2426,PO-2024-2426,PO-2024-2426,True,True
L2_D_002,True,True,PO-2025-5011,PO-2025-5011,PO-2025-5011,True,True
L2_D_003,True,True,PO-2025-6954,PO-2025-6954,PO-2025-6954,True,True
L2_D_004,False,False,PO-2026-8063,PO-2026-8063,PO-2026-8063,True,True
L2_D_005,True,True,PO-2024-1003,PO-2024-1003,PO-2024-1003,True,True
L2_D_006,True,True,PO-2025-7459,PO-2025-7459,PO-2025-7459,True,True
L2_D_007,True,True,PO-2025-4698,PO-2025-4698,PO-2025-4698,True,True
L2_D_008,True,True,PO-2026-8687,PO-2026-8687,PO-2026-8687,True,True
L2_D_009,False,False,PO-2024-3860,PO-2024-3860,PO-2024-3860,True,True
L2_D_010,True,True,PO-2026-6653,PO-2026-6653,PO-2026-6653,True,True
L2_D_011,True,True,PO-2025-9687,PO-2025-9687,PO-2025-9687,True,True
L2_D_012,True,True,PO-2026-4552,PO-2026-4552,PO-2026-4552,True,True
L2_D_013,True,True,PO-2025-3915,PO-2025-3915,PO-2025-3915,True,True
L2_D_014,True,True,PO-2024-7298,PO-2024-7298,PO-2024-7298,True,True
L2_D_015,False,False,PO-2025-7369,PO-2025-7369,PO-2025-7369,True,True
L2_D_016,True,True,PO-2024-2870,PO-2024-2870,PO-2024-2870,True,True
L2_D_017,True,True,PO-2024-7060,PO-2024-7060,PO-2024-7060,True,True
L2_D_018,True,True,PO-2025-4919,PO-2025-4919,PO-2025-4919,True,True
L2_D_019,True,True,PO-2025-5118,PO-2025-5118,PO-2025-5118,True,True
L2_D_020,True,True,PO-2025-4731,PO-2025-4731,PO-2025-4731,True,True
