file_name,version,field_scope,item_index,field_name,old_value,new_value,changed,fix_reason
L2_A_001,v1_baseline,header,,po_number,PO-2026-2824,PO-2026-2824,False,po_uppercase_only_or_already_correct
L2_A_001,v1_baseline,item,0,part_number,IR-220,IR-220,False,part_uppercase_only_or_already_correct
L2_A_001,v1_baseline,item,1,part_number,BK-410,BK-410,False,part_uppercase_only_or_already_correct
L2_A_001,v1_baseline,item,2,part_number,IR-410,IR-410,False,part_uppercase_only_or_already_correct
L2_A_002,v1_baseline,header,,po_number,PO-2025-5333,PO-2025-5333,False,po_uppercase_only_or_already_correct
L2_A_002,v1_baseline,item,0,part_number,JQ-618,JQ-618,False,part_uppercase_only_or_already_correct
L2_A_002,v1_baseline,item,1,part_number,AX-410,AX-410,False,part_uppercase_only_or_already_correct
L2_A_002,v1_baseline,item,2,part_number,BK-725,BK-725,False,part_uppercase_only_or_already_correct
L2_A_002,v1_baseline,item,3,part_number,FT-305,FT-305,False,part_uppercase_only_or_already_correct
L2_A_002,v1_baseline,item,4,part_number,EV-220,EV-220,False,part_uppercase_only_or_already_correct
L2_A_003,v1_baseline,header,,po_number,PO-2025-4483,PO-2025-4483,False,po_uppercase_only_or_already_correct
L2_A_003,v1_baseline,item,0,part_number,IR-940,IR-940,False,part_uppercase_only_or_already_correct
L2_A_003,v1_baseline,item,1,part_number,JQ-725,JQ-725,False,part_uppercase_only_or_already_correct
L2_A_003,v1_baseline,item,2,part_number,CN-940,CN-940,False,part_uppercase_only_or_already_correct
L2_A_003,v1_baseline,item,3,part_number,BK-305,BK-305,False,part_uppercase_only_or_already_correct
L2_A_004,v1_baseline,header,,po_number,PO-2024-9317,PO-2024-9317,False,po_uppercase_only_or_already_correct
L2_A_004,v1_baseline,item,0,part_number,IR-940,IR-940,False,part_uppercase_only_or_already_correct
L2_A_004,v1_baseline,item,1,part_number,AX-220,AX-220,False,part_uppercase_only_or_already_correct
L2_A_004,v1_baseline,item,2,part_number,DX-220,DX-220,False,part_uppercase_only_or_already_correct
L2_A_005,v1_baseline,header,,po_number,PO-2026-8397,PO-2026-8397,False,po_uppercase_only_or_already_correct
L2_A_005,v1_baseline,item,0,part_number,DX-410,DX-410,False,part_uppercase_only_or_already_correct
L2_A_005,v1_baseline,item,1,part_number,AX-410,AX-410,False,part_uppercase_only_or_already_correct
L2_A_005,v1_baseline,item,2,part_number,BK-940,BK-940,False,part_uppercase_only_or_already_correct
L2_A_005,v1_baseline,item,3,part_number,DX-940,DX-940,False,part_uppercase_only_or_already_correct
L2_A_006,v1_baseline,header,,po_number,PO-2025-6559,PO-2025-6559,False,po_uppercase_only_or_already_correct
L2_A_006,v1_baseline,item,0,part_number,EV-830,EV-830,False,part_uppercase_only_or_already_correct
L2_A_006,v1_baseline,item,1,part_number,IR-220,IR-220,False,part_uppercase_only_or_already_correct
L2_A_006,v1_baseline,item,2,part_number,BK-410,BK-410,False,part_uppercase_only_or_already_correct
L2_A_006,v1_baseline,item,3,part_number,DX-725,DX-725,False,part_uppercase_only_or_already_correct
L2_A_006,v1_baseline,item,4,part_number,GX-512,GX-512,False,part_uppercase_only_or_already_correct
L2_A_007,v1_baseline,header,,po_number,PO-2024-4044,PO-2024-4044,False,po_uppercase_only_or_already_correct
L2_A_007,v1_baseline,item,0,part_number,JQ-410,JQ-410,False,part_uppercase_only_or_already_correct
L2_A_007,v1_baseline,item,1,part_number,BK-725,BK-725,False,part_uppercase_only_or_already_correct
L2_A_007,v1_baseline,item,2,part_number,EV-410,EV-410,False,part_uppercase_only_or_already_correct
L2_A_007,v1_baseline,item,3,part_number,CN-512,CN-512,False,part_uppercase_only_or_already_correct
L2_A_007,v1_baseline,item,4,part_number,BK-100,BK-100,False,part_uppercase_only_or_already_correct
L2_A_008,v1_baseline,header,,po_number,PO-2025-2891,PO-2025-2891,False,po_uppercase_only_or_already_correct
L2_A_008,v1_baseline,item,0,part_number,FT-410,FT-410,False,part_uppercase_only_or_already_correct
L2_A_008,v1_baseline,item,1,part_number,AX-220,AX-220,False,part_uppercase_only_or_already_correct
L2_A_008,v1_baseline,item,2,part_number,FT-305,FT-305,False,part_uppercase_only_or_already_correct
L2_A_008,v1_baseline,item,3,part_number,IR-725,IR-725,False,part_uppercase_only_or_already_correct
L2_A_009,v1_baseline,header,,po_number,PO-2024-6862,PO-2024-6862,False,po_uppercase_only_or_already_correct
L2_A_009,v1_baseline,item,0,part_number,GX-305,GX-305,False,part_uppercase_only_or_already_correct
L2_A_009,v1_baseline,item,1,part_number,CN-725,CN-725,False,part_uppercase_only_or_already_correct
L2_A_009,v1_baseline,item,2,part_number,FT-725,FT-725,False,part_uppercase_only_or_already_correct
L2_A_009,v1_baseline,item,3,part_number,BK-725,BK-725,False,part_uppercase_only_or_already_correct
L2_A_010,v1_baseline,header,,po_number,PO-2025-6753,PO-2025-6753,False,po_uppercase_only_or_already_correct
L2_A_010,v1_baseline,item,0,part_number,EV-305,EV-305,False,part_uppercase_only_or_already_correct
L2_A_010,v1_baseline,item,1,part_number,JQ-725,JQ-725,False,part_uppercase_only_or_already_correct
L2_A_011,v1_baseline,header,,po_number,PO-2026-3041,PO-2026-3041,False,po_uppercase_only_or_already_correct
L2_A_011,v1_baseline,item,0,part_number,IR-305,IR-305,False,part_uppercase_only_or_already_correct
L2_A_011,v1_baseline,item,1,part_number,GX-305,GX-305,False,part_uppercase_only_or_already_correct
L2_A_011,v1_baseline,item,2,part_number,IR-100,IR-100,False,part_uppercase_only_or_already_correct
L2_A_011,v1_baseline,item,3,part_number,JQ-618,JQ-618,False,part_uppercase_only_or_already_correct
L2_A_012,v1_baseline,header,,po_number,PO-2024-1757,PO-2024-1757,False,po_uppercase_only_or_already_correct
L2_A_012,v1_baseline,item,0,part_number,JQ-410,JQ-410,False,part_uppercase_only_or_already_correct
L2_A_012,v1_baseline,item,1,part_number,CN-100,CN-100,False,part_uppercase_only_or_already_correct
L2_A_012,v1_baseline,item,2,part_number,IR-830,IR-830,False,part_uppercase_only_or_already_correct
L2_A_012,v1_baseline,item,3,part_number,BK-830,BK-830,False,part_uppercase_only_or_already_correct
L2_A_012,v1_baseline,item,4,part_number,IR-618,IR-618,False,part_uppercase_only_or_already_correct
L2_A_013,v1_baseline,header,,po_number,PO-2026-5681,PO-2026-5681,False,po_uppercase_only_or_already_correct
L2_A_013,v1_baseline,item,0,part_number,GX-305,GX-305,False,part_uppercase_only_or_already_correct
L2_A_013,v1_baseline,item,1,part_number,FT-940,FT-940,False,part_uppercase_only_or_already_correct
L2_A_014,v1_baseline,header,,po_number,PO-2026-9947,PO-2026-9947,False,po_uppercase_only_or_already_correct
L2_A_014,v1_baseline,item,0,part_number,FT-725,FT-725,False,part_uppercase_only_or_already_correct
L2_A_014,v1_baseline,item,1,part_number,JQ-940,JQ-940,False,part_uppercase_only_or_already_correct
L2_A_014,v1_baseline,item,2,part_number,AX-220,AX-220,False,part_uppercase_only_or_already_correct
L2_A_014,v1_baseline,item,3,part_number,CN-100,CN-100,False,part_uppercase_only_or_already_correct
L2_A_014,v1_baseline,item,4,part_number,HM-618,HM-618,False,part_uppercase_only_or_already_correct
L2_A_015,v1_baseline,header,,po_number,PO-2024-4908,PO-2024-4908,False,po_uppercase_only_or_already_correct
L2_A_015,v1_baseline,item,0,part_number,CN-220,CN-220,False,part_uppercase_only_or_already_correct
L2_A_015,v1_baseline,item,1,part_number,AX-512,AX-512,False,part_uppercase_only_or_already_correct
L2_A_015,v1_baseline,item,2,part_number,DX-220,DX-220,False,part_uppercase_only_or_already_correct
L2_A_015,v1_baseline,item,3,part_number,EV-220,EV-220,False,part_uppercase_only_or_already_correct
L2_A_015,v1_baseline,item,4,part_number,GX-618,GX-618,False,part_uppercase_only_or_already_correct
L2_A_016,v1_baseline,header,,po_number,PO-2025-8616,PO-2025-8616,False,po_uppercase_only_or_already_correct
L2_A_016,v1_baseline,item,0,part_number,BK-512,BK-512,False,part_uppercase_only_or_already_correct
L2_A_016,v1_baseline,item,1,part_number,JQ-725,JQ-725,False,part_uppercase_only_or_already_correct
L2_A_016,v1_baseline,item,2,part_number,FT-305,FT-305,False,part_uppercase_only_or_already_correct
L2_A_016,v1_baseline,item,3,part_number,EV-618,EV-618,False,part_uppercase_only_or_already_correct
L2_A_017,v1_baseline,header,,po_number,PO-2024-7625,PO-2024-7625,False,po_uppercase_only_or_already_correct
L2_A_017,v1_baseline,item,0,part_number,GX-940,GX-940,False,part_uppercase_only_or_already_correct
L2_A_017,v1_baseline,item,1,part_number,EV-512,EV-512,False,part_uppercase_only_or_already_correct
L2_A_017,v1_baseline,item,2,part_number,DX-618,DX-618,False,part_uppercase_only_or_already_correct
L2_A_017,v1_baseline,item,3,part_number,CN-410,CN-410,False,part_uppercase_only_or_already_correct
L2_A_017,v1_baseline,item,4,part_number,JQ-940,JQ-940,False,part_uppercase_only_or_already_correct
L2_A_018,v1_baseline,header,,po_number,PO-2025-2680,PO-2025-2680,False,po_uppercase_only_or_already_correct
L2_A_018,v1_baseline,item,0,part_number,AX-512,AX-512,False,part_uppercase_only_or_already_correct
L2_A_018,v1_baseline,item,1,part_number,GX-830,GX-830,False,part_uppercase_only_or_already_correct
